city,year,total_births,total_deaths,births_male,births_female,deaths_male,deaths_female,deaths_others,bbmp_total_births,bbmp_total_deaths,births_registered,deaths_registered,infant_mortality,crude_death_rate,crude_birth_rate_per_1000,crude_death_rate_per_1000,pop_estimate,partial_year,data_source,bbmp_birth_coverage_pct,bbmp_death_coverage_pct,registration_completeness_births,registration_completeness_deaths,male_death_share,sex_ratio_births
Bengaluru,2001,108999,44528,51141.0,57858.0,24488.0,20040.0,,87529.0,35871.0,,,,0.408517509334948,19.156239015817224,7.825659050966608,5690000,False,real,0.8030257158322553,0.8055830039525692,,,,
Bengaluru,2002,105718,39008,55695.0,50023.0,23921.0,15087.0,,87287.0,30725.0,,,,0.368981630375149,17.723051131601004,6.5394803017602685,5965000,False,real,0.8256588282033334,0.7876589417555373,,,,
Bengaluru,2003,100263,35774,49377.0,50886.0,18510.0,17264.0,,74345.0,29789.0,,,,0.3568016117610684,16.067788461538463,5.733012820512821,6240000,False,real,0.7414998553803497,0.832699726058031,,,,
Bengaluru,2004,109212,37113,57298.0,51914.0,22466.0,14647.0,,81629.0,29987.0,,,,0.33982529392374466,16.763161933998465,5.696546431312356,6515000,False,real,0.7474361791744497,0.8079918088001509,,,,
Bengaluru,2005,101371,37833,52709.0,48662.0,20975.0,16858.0,,81969.0,30241.0,,,,0.3732132463919661,14.929455081001473,5.571870397643594,6790000,False,real,0.8086040386303776,0.7993286284460656,,,,
Bengaluru,2006,99062,36527,51288.0,47774.0,21045.0,15482.0,,83392.0,29311.0,,,,0.36872867497123013,14.021514508138711,5.170134465675867,7065000,False,real,0.8418162362964609,0.802447504585649,,,,
Bengaluru,2007,111243,40694,57487.0,53756.0,24793.0,15901.0,,106974.0,35095.0,,,,0.36581178141545984,15.155722070844686,5.544141689373297,7340000,False,real,0.961624551657183,0.8624121492111859,,,,
Bengaluru,2008,107348,34573,56911.0,50437.0,21629.0,12944.0,,96780.0,30608.0,,,,0.32206468681298206,14.096913985554826,4.540118187787263,7615000,False,real,0.9015538249431755,0.8853151303039944,,,,
Bengaluru,2009,116897,36709,59226.0,57671.0,24412.0,12297.0,,107599.0,33813.0,,,,0.3140285892708966,14.815842839036756,4.652598225602027,7890000,False,real,0.920459892041712,0.9211092647579613,,,,
Bengaluru,2010,115744,38780,58695.0,57049.0,24778.0,14002.0,,107815.0,36051.0,,,,0.33504976499861766,14.175627679118186,4.749540722596448,8165000,False,real,0.9314953690904064,0.9296286745745229,,,,
Bengaluru,2011,132593,51382,68723.0,63870.0,31587.0,19795.0,,125556.0,48390.0,,,,0.3875166864012429,15.710071090047393,6.087914691943127,8440000,False,real,0.9469278167022391,0.9417694912615313,,,,
Bengaluru,2012,150582,51351,76958.0,73624.0,32643.0,18708.0,,143830.0,46703.0,,,,0.34101685460413594,16.9809686669316,5.790796522928401,8867692,False,real,0.9551606433703895,0.9094856964810812,,,,
Bengaluru,2013,147696,50520,75268.0,72428.0,30114.0,20406.0,,140065.0,46626.0,,,,0.3420539486512837,15.88917682152776,5.434955672622024,9295384,False,real,0.9483330625067706,0.9229216152019002,,,,
Bengaluru,2014,153956,57617,77900.0,76056.0,34913.0,22704.0,,143485.0,50514.0,,,,0.37424329029073244,15.834083781716815,5.925799613208824,9723076,False,real,0.9319870612382759,0.8767204123782911,,,,
Bengaluru,2015,159272,61696,82380.0,76892.0,37170.0,24526.0,,150990.0,57111.0,,,,0.38736249937214323,15.690633882024109,6.077963157274095,10150769,False,real,0.9480009041137174,0.9256839989626556,,,,
Bengaluru,2016,160161,62805,82862.0,77299.0,38119.0,24686.0,,148969.0,56198.0,,,,0.3921366624833761,15.14029309178339,5.937064002032054,10578461,False,real,0.9301203164315908,0.8948013693177295,,,,
Bengaluru,2017,157828,67402,81238.0,76590.0,41481.0,25921.0,,146036.0,59384.0,,,,0.42705983729122843,14.3399787373481,6.124028986331555,11006153,False,real,0.9252857541120714,0.8810421055755022,,,,
Bengaluru,2018,154004,67200,79409.0,74595.0,41405.0,25795.0,,143693.0,59423.0,,,,0.43635230253759644,13.46913365808845,5.877287484893534,11433846,False,real,0.9330471935793876,0.8842708333333333,,,,
Bengaluru,2019,159181,72861,82240.0,76941.0,44031.0,28830.0,,148614.0,65019.0,,,,0.4577242258812295,13.419929186248865,6.142626698156681,11861538,False,real,0.9336164491993392,0.8923704039197925,,,,
Bengaluru,2020,144186,84186,74438.0,69748.0,51854.0,32332.0,,135556.0,75441.0,,,,0.5838708335067205,11.732712301747139,6.850388510915655,12289230,False,real,0.9401467548860499,0.8961228707861164,,,,
Bengaluru,2021,124414,90596,63922.0,60492.0,54119.0,36477.0,,116590.0,87220.0,,,,0.7281817158840644,9.783341457678087,7.1240503697317346,12716923,False,real,0.9371131866188692,0.9627356616186145,,,,
Bengaluru,2022,148826,79630,76351.0,72475.0,48014.0,31616.0,,138097.0,69836.0,,,,0.5350543587813957,11.322203046646859,6.0579940911164,13144615,False,real,0.9279091019042371,0.8770061534597513,,,,
Bengaluru,2023,160625,79385,82910.0,77715.0,47738.0,31647.0,,148751.0,69755.0,,,,0.49422568093385216,11.834760295357304,5.8490424656618805,13572307,False,real,0.9260762645914397,0.878692448195503,,,,
Bengaluru,2024,157422,69542,81291.0,76131.0,41308.0,28234.0,,144115.0,57918.0,,,,0.4417552819809175,11.244428571428571,4.967285714285714,14000000,False,real,0.9154692482626317,0.8328492134249806,,,,
Chennai,2018,57501,33295,,,,,,,,57501.0,33295.0,,0.5790334081146414,5.275321100917431,3.054587155963303,10900000,False,real,,,1.0,1.0,,
Chennai,2019,107853,68190,,,,,,,,107852.0,68190.0,,0.6322494506411505,9.804818181818183,6.199090909090909,11000000,False,real,,,0.9999907281206828,1.0,,
Chennai,2020,95780,73308,,,,,,,,95780.0,73303.0,,0.7653789935268324,8.628828828828828,6.604324324324324,11100000,False,real,,,1.0,0.9999317946199596,,
Chennai,2021,93565,92294,,,,,,,,93564.0,92290.0,,0.9864158606316464,8.354017857142857,8.240535714285715,11200000,False,real,,,0.9999893122428258,0.9999566602379353,,
Chennai,2022,100197,67883,,,,,,,,100177.0,67880.0,,0.6774953341916424,8.866991150442477,6.007345132743363,11300000,False,real,,,0.9998003932253461,0.9999558063138047,,
Chennai,2023,97144,68876,,,,,,,,97138.0,68869.0,,0.7090093057728732,8.521403508771929,6.0417543859649125,11400000,False,real,,,0.9999382360207527,0.9998983680817701,,
Chennai,2024,91049,67240,,,,,,,,91005.0,67235.0,,0.7385034432009138,7.917304347826088,5.846956521739131,11500000,False,real,,,0.9995167437313974,0.9999256395002974,,
Chennai,2025,84172,67637,,,,,,,,84092.0,67546.0,,0.8035570023285653,7.256206896551724,5.830775862068966,11600000,False,real,,,0.999049565176068,0.9986545825509706,,
Delhi,2017,367046,136117,,,83600.0,52485.0,32.0,,,,,,0.370844526299156,12.484557823129252,4.629829931972789,29400000,False,real,,,,,0.6141775090547102,
Delhi,2018,362803,145533,,,89644.0,55848.0,41.0,,,,,,0.4011350512537107,12.133879598662206,4.8673244147157195,29900000,False,real,,,,,0.6159702610404513,
Delhi,2019,365868,145284,,,89723.0,55527.0,34.0,,,,,,0.3970940339138706,12.035131578947368,4.77907894736842,30400000,False,real,,,,,0.6175697255031525,
Delhi,2020,301645,142789,,,88411.0,54350.0,28.0,,,,,,0.4733677004425732,9.761974110032362,4.621003236245954,30900000,False,real,,,,,0.6191723452086645,
Delhi,2021,271786,171476,,,103842.0,67602.0,32.0,,,,,,0.6309228584253788,8.655605095541402,5.461019108280254,31400000,False,real,,,,,0.60557745690359,
Delhi,2022,300350,128106,,,79052.0,49004.0,50.0,,,,,,0.4265223905443649,9.415360501567399,4.015862068965518,31900000,False,real,,,,,0.6170827283655722,
Delhi,2023,315087,132391,,,81500.0,50868.0,23.0,,,,,,0.42017284115180886,9.724907407407407,4.086141975308641,32400000,False,real,,,,,0.6156007583597072,
Delhi,2024,306459,139480,,,85391.0,54051.0,38.0,,,,,,0.45513429202601324,9.314863221884499,4.2395136778115505,32900000,False,real,,,,,0.6122096357900775,
Pune,1975,17355,2596,9278.0,8077.0,1515.0,1081.0,,,,,,,0.14958225295303948,12.36111111111111,1.849002849002849,1404000,False,real,,,,,,870.5539987066178
Pune,1976,24302,4320,12511.0,11791.0,2473.0,1847.0,,,,,,,0.1777631470660851,16.740765437779764,2.975891148514879,1451666,False,real,,,,,,942.4506434337783
Pune,1977,27328,6565,14111.0,13217.0,3611.0,2954.0,,,,,,,0.24022980093676816,18.22677150439562,4.378613690220918,1499333,False,real,,,,,,936.6451704344129
Pune,1978,29471,7999,15209.0,14262.0,4469.0,3530.0,,,,,,,0.27141936140612805,19.050420168067227,5.17065287653523,1547000,False,real,,,,,,937.7342363074496
Pune,1979,32032,9406,16461.0,15571.0,5281.0,4125.0,,,,,,,0.29364385614385613,20.086964919299714,5.898413837129531,1594666,False,real,,,,,,945.9328108863374
Pune,1980,31971,7797,16318.0,15653.0,4578.0,3219.0,,,,,,,0.2438772637702918,19.466819457442554,4.7475146635913665,1642333,False,real,,,,,,959.2474567961759
Pune,1981,26151,11045,13604.0,12547.0,6320.0,4725.0,,,,,,,0.4223547856678521,15.47396449704142,6.535502958579881,1690000,False,real,,,,,,922.3022640399882
Pune,1982,36378,11145,19014.0,17364.0,6712.0,4433.0,,,,,,,0.3063664852383309,20.934978298476235,6.413775719844896,1737666,False,real,,,,,,913.2218365414957
Pune,1983,35061,11492,18389.0,16672.0,6835.0,4657.0,,,,,,,0.3277715980719318,19.63835318117124,6.436894405693503,1785333,False,real,,,,,,906.6289629669911
Pune,1984,41061,10423,21342.0,19719.0,6022.0,4401.0,,,,,,,0.2538418450597891,22.400981996726678,5.686306601200219,1833000,False,real,,,,,,923.9527691875176
Pune,1985,35471,10610,18408.0,17063.0,6222.0,4388.0,,,,,,,0.2991175890163796,18.860871627391575,5.641618447932807,1880666,False,real,,,,,,926.9339417644502
Pune,1986,36610,7923,19188.0,17422.0,4717.0,3206.0,,,,,,,0.21641627970499863,18.985310109820244,4.108730183012996,1928333,False,real,,,,,,907.9633104023349
Pune,1987,36558,7744,19141.0,17417.0,4723.0,3021.0,,,,,,,0.21182778051315718,18.501012145748987,3.919028340080972,1976000,False,real,,,,,,909.9315605245285
Pune,1988,40078,10124,20863.0,19215.0,5958.0,4166.0,,,,,,,0.25260741553969757,19.80465155811285,5.002801845759132,2023666,False,real,,,,,,921.0084839188994
Pune,1989,43603,11106,22803.0,20800.0,6634.0,4472.0,,,,,,,0.25470724491434077,21.050695373462403,5.361764622105668,2071333,False,real,,,,,,912.1606806122002
Pune,1990,47857,15284,24859.0,22998.0,9128.0,6156.0,,,,,,,0.3193681175167687,22.58470976875885,7.21283624351109,2119000,False,real,,,,,,925.1377770626332
Pune,1991,44390,16793,23208.0,21182.0,9959.0,6834.0,,,,,,,0.3783059247578283,20.487698611599573,7.7506177694208525,2166666,False,real,,,,,,912.7025163736643
Pune,1992,63392,14917,33289.0,30103.0,8746.0,6171.0,,,,,,,0.2353136042402827,28.628033814245644,6.73656581914283,2214333,False,real,,,,,,904.2927093033735
Pune,1993,41713,16540,21841.0,19872.0,9614.0,6926.0,,,,,,,0.39651907079327786,18.440760389036253,7.31211317418214,2262000,False,real,,,,,,909.8484501625384
Pune,1994,40768,17033,21396.0,19372.0,9979.0,7054.0,,,,,,,0.41780317896389324,17.651036989763888,7.3746593663326205,2309666,False,real,,,,,,905.4028790428117
Pune,1995,42470,16996,22051.0,20419.0,10046.0,6950.0,,,,,,,0.4001883682599482,18.016122457030892,7.209842648450601,2357333,False,real,,,,,,925.9897510316993
Pune,1996,43550,18223,22928.0,20622.0,10843.0,7380.0,,,,,,,0.4184385763490241,18.10810810810811,7.577130977130977,2405000,False,real,,,,,,899.4242847173762
Pune,1997,44723,17579,23724.0,20999.0,10480.0,7099.0,,,,,,,0.3930639715582586,18.234443662528857,7.167302845148911,2452666,False,real,,,,,,885.1374135896139
Pune,1998,43711,20589,23176.0,20535.0,12227.0,8362.0,,,,,,,0.47102559996339594,17.482071388091107,8.23450316417853,2500333,False,real,,,,,,886.0459095616154
Pune,1999,45405,20290,24128.0,21277.0,12266.0,8024.0,,,,,,,0.44686708512278384,17.819858712715856,7.963108320251178,2548000,False,real,,,,,,881.8385278514589
Pune,2000,46900,21179,24809.0,22091.0,12845.0,8334.0,,,,,,,0.45157782515991474,18.06858047221792,8.159370273371072,2595666,False,real,,,,,,890.4429844008223
Pune,2001,44299,20730,23745.0,20554.0,12579.0,8151.0,,,,,,,0.46795638727736516,16.758766299970528,7.842371732959865,2643333,False,real,,,,,,865.6138134344072
Pune,2002,44371,22159,23966.0,20405.0,13297.0,8862.0,,,,,,,0.49940276306596654,16.488665923448533,8.234485321441843,2691000,False,real,,,,,,851.4145038804974
Pune,2003,45423,21667,24420.0,21003.0,13060.0,8607.0,,,,,,,0.4770050414988002,16.585812216604726,7.911516044672844,2738666,False,real,,,,,,860.07371007371
Pune,2004,46302,21984,24657.0,21645.0,13026.0,8958.0,,,,,,,0.4747959051444862,16.617539970994134,7.8899399318028385,2786333,False,real,,,,,,877.8440199537657
Pune,2005,46464,22097,24804.0,21660.0,13064.0,9033.0,,,,,,,0.4755724862258953,16.395201129146084,7.797106563161609,2834000,False,real,,,,,,873.2462506047411
Pune,2006,48028,22897,25629.0,22399.0,13569.0,9328.0,,,,,,,0.47674273340551343,16.666747638345317,7.945750826084633,2881666,False,real,,,,,,873.9708923485115
Pune,2007,49596,23594,26342.0,23254.0,14000.0,9594.0,,,,,,,0.4757238486974756,16.930816673966394,8.054393269730685,2929333,False,real,,,,,,882.7727583327006
Pune,2008,51140,23965,27213.0,23927.0,14355.0,9610.0,,,,,,,0.46861556511536956,17.17836748404434,8.050050386294927,2977000,False,real,,,,,,879.248888398927
Pune,2009,50777,24263,26905.0,23872.0,14344.0,9919.0,,,,,,,0.47783445260649504,16.787638701264868,8.02171214937451,3024666,False,real,,,,,,887.2700241590782
Pune,2010,51100,26788,27134.0,23966.0,15919.0,10869.0,,,,,,,0.5242270058708415,16.632311666736644,8.719106945764016,3072333,False,real,,,,,,883.2461118891429
Pune,2011,53326,27192,28232.0,25094.0,16013.0,11179.0,,,,,,,0.5099201140156772,17.09166666666667,8.715384615384616,3120000,False,real,,,,,,888.8495324454519
Pune,2012,57139,27322,29524.0,27615.0,15990.0,11332.0,,,,,,,0.47816727629114963,17.527300613496934,8.380981595092026,3260000,False,real,,,,,,935.3407397371631
Pune,2013,58405,27473,30180.0,28225.0,16135.0,11338.0,,,,,,,0.4703878092629056,17.177941176470586,8.080294117647059,3400000,False,real,,,,,,935.222001325381
Pune,2014,58405,27473,30180.0,28225.0,16135.0,11338.0,,,,,,,0.4703878092629056,16.498587570621467,7.760734463276836,3540000,False,real,,,,,,935.222001325381
Pune,2015,54989,28569,28551.0,26438.0,16830.0,11739.0,,,,,,,0.5195402716907018,14.94266304347826,7.7633152173913045,3680000,False,real,,,,,,925.9920843403033
Pune,2016,55633,31374,28779.0,26854.0,18622.0,12752.0,,,,,,,0.5639458594718961,14.563612565445027,8.213089005235602,3820000,False,real,,,,,,933.1109489558359
Pune,2017,55987,28659,29004.0,26983.0,16718.0,11941.0,,,,,,2040.0,0.5118866879811385,14.138131313131312,7.237121212121212,3960000,False,real,,,,,,930.3199558681561
Pune,2018,17660,10333,9168.0,8492.0,6026.0,4307.0,,,,,,,0.5851075877689694,4.307317073170731,2.520243902439024,4100000,True,real,,,,,,926.2652705061082
