sno,city,zone_no,div_no,facility_name,beds,address
1,Chennai,I,11,Kuppam,12,"No.1, School street,Jothy Nagar,Kuppam."
2,Chennai,II,21,Manali,15,No 1 Nedunchezian Salai manali Chennai -68
3,Chennai,III,26,Madhavaram,18,"No 47, Swamy Nagar Madhavaram Chennai - 60"
4,Chennai,IV,47,R.K. Nagar,20,"No.88, K.H Road , Korukkupet, Ch-21"
5,Chennai,V,49,Sanjeevarayanpet,14,"No.194, Solaiappar st, Ch- 21."
6,Chennai,VI,73,Pulianthope,16,"42, Thiruvenkadasamy street, Puliyanthope, ch-12"
7,Chennai,VII,87,Padi,22,"No. 5, Church St, TMP Nagar, Padi, Ch - 50"
8,Chennai,VIII,96,Ayanavaram,18,"29, United India nagar, Ayanavaram ch-23"
9,Chennai,IX,119,Mirsahibpet,15,"No.11, Begum 5th street, Royapettah, ch-14"
10,Chennai,X,134,Vadapalani,25,"No : 65, Arcot Road, Kodambakkam, Ch - 24"
11,Chennai,XI,153,Porur,20,"4, Senthil nagar, Hospital road, Chinna porur, ch-116"
12,Chennai,XII,160,Alandur,16,"No.56, Sowri St, Alandur, Ch - 16"
13,Chennai,XIII,175,Adyar,18,"NO:2 Venkatarathinam nagar, Adyar, ch-20."
14,Chennai,XIV,184,Perungudi,14,"Next Divition office, School road, Perungudi, ch-96"
15,Chennai,XV,195,Kannagi Nagar,12,"Kannagi nagar- Slum clearence, Kannagi nagar, chennai-115,"
16,Chennai,XV,196,Injambakkam,15,"VOC street, Injambakkam, Near Amma unavagam, Injembakam Periperal hospital, ch-115"