year,city,births_male,births_female,deaths_male,deaths_female,partial_year
1975,Pune,9278,8077,1515,1081,False
1976,Pune,12511,11791,2473,1847,False
1977,Pune,14111,13217,3611,2954,False
1978,Pune,15209,14262,4469,3530,False
1979,Pune,16461,15571,5281,4125,False
1980,Pune,16318,15653,4578,3219,False
1981,Pune,13604,12547,6320,4725,False
1982,Pune,19014,17364,6712,4433,False
1983,Pune,18389,16672,6835,4657,False
1984,Pune,21342,19719,6022,4401,False
1985,Pune,18408,17063,6222,4388,False
1986,Pune,19188,17422,4717,3206,False
1987,Pune,19141,17417,4723,3021,False
1988,Pune,20863,19215,5958,4166,False
1989,Pune,22803,20800,6634,4472,False
1990,Pune,24859,22998,9128,6156,False
1991,Pune,23208,21182,9959,6834,False
1992,Pune,33289,30103,8746,6171,False
1993,Pune,21841,19872,9614,6926,False
1994,Pune,21396,19372,9979,7054,False
1995,Pune,22051,20419,10046,6950,False
1996,Pune,22928,20622,10843,7380,False
1997,Pune,23724,20999,10480,7099,False
1998,Pune,23176,20535,12227,8362,False
1999,Pune,24128,21277,12266,8024,False
2000,Pune,24809,22091,12845,8334,False
2001,Pune,23745,20554,12579,8151,False
2002,Pune,23966,20405,13297,8862,False
2003,Pune,24420,21003,13060,8607,False
2004,Pune,24657,21645,13026,8958,False
2005,Pune,24804,21660,13064,9033,False
2006,Pune,25629,22399,13569,9328,False
2007,Pune,26342,23254,14000,9594,False
2008,Pune,27213,23927,14355,9610,False
2009,Pune,26905,23872,14344,9919,False
2010,Pune,27134,23966,15919,10869,False
2011,Pune,28232,25094,16013,11179,False
2012,Pune,29524,27615,15990,11332,False
2013,Pune,30180,28225,16135,11338,False
2014,Pune,30180,28225,16135,11338,False
2015,Pune,28551,26438,16830,11739,False
2016,Pune,28779,26854,18622,12752,False
2017,Pune,29004,26983,16718,11941,False
2018,Pune,9168,8492,6026,4307,True